"Company Name","52 Week High (₹)","High Date","52 Week Low (₹)","Low Date"
"Jenson & Nich.","16.60","17/03/2017","3.20","16/03/2018"
"Jet Airways","287.00","27/03/2019","14.70","22/10/2019"
"Jet Freight Logistic","26.00","02/04/2019","15.10","24/01/2020"
"Jet Knitwears","56.00","10/12/2018","19.85","31/10/2019"
"Jeypore Sugar Compan","128.50","10/06/2014","69.00","16/05/2014"
"JHS Svendgaard Labor","29.50","11/03/2019","12.70","22/08/2019"
"JIK Industries","0.95","10/06/2019","0.15","09/10/2019"
"Jindal Cotex Ltd.","5.15","01/02/2019","1.50","01/11/2019"
"Jindal Drilling","127.70","28/01/2020","58.95","23/08/2019"
"Jindal Photo","37.90","01/07/2019","11.50","17/12/2019"
"Jindal Poly Films","297.00","17/01/2020","209.40","03/09/2019"
"Jindal Poly Investme","43.85","11/03/2019","10.05","28/11/2019"
"Jindal Saw","102.60","16/01/2020","63.00","05/08/2019"
"Jindal St & Pwr","191.20","18/04/2019","91.05","04/09/2019"
"Jindal Stainless","47.25","10/01/2020","23.40","07/02/2019"
"Jindal Stainless (Hi","101.45","01/04/2019","58.50","05/09/2019"
"Jindal Worldwide","84.40","30/05/2019","52.05","10/10/2019"
"JITF Infralogistics","19.00","25/03/2019","5.50","04/12/2019"
"Jiya Eco Products Lt","57.80","29/08/2019","15.85","07/01/2020"
"JK Cement","1,425.00","27/01/2020","682.50","05/02/2019"
"JK Lakshmi Cement L","395.95","04/06/2019","262.75","11/12/2019"
"JK Paper Ltd.","155.90","09/04/2019","94.10","23/08/2019"
"JK Tyre & Industries","99.65","13/03/2019","54.65","07/08/2019"
"JM Financial Ltd.","110.10","24/01/2020","61.60","02/08/2019"
"JMC Projects","150.50","27/05/2019","87.05","18/02/2019"
"JMT Auto Ltd.","3.10","04/02/2019","1.10","01/10/2019"
"Jocil Ltd.","138.45","20/01/2020","73.05","03/09/2019"
"Johnson Controls-Hit","2,495.00","27/01/2020","1,470.00","13/08/2019"
"JSW Energy Ltd.","80.00","08/11/2019","57.80","07/10/2019"
"JSW Holdings","3,131.85","22/04/2019","2,102.85","07/01/2020"
"JSW Steel","314.00","02/05/2019","201.75","29/08/2019"
"JTEKT India","119.50","18/04/2019","62.80","06/08/2019"
"Jubilant Foodworks L","1,904.00","31/01/2020","1,077.90","23/08/2019"
"Jubilant Industries","158.90","30/01/2020","76.50","25/07/2019"
"Jubilant Life Scienc","898.85","18/03/2019","391.05","26/08/2019"
"Jullundur Motor","40.10","14/05/2019","20.20","06/08/2019"
"Jumbo Bags Ltd","7.80","03/07/2014","3.50","12/03/2014"
"Jump Networks","77.00","27/11/2019","44.40","14/01/2020"
"Just Dial","824.80","09/07/2019","459.75","05/02/2019"
"JVL Agro Industries","4.75","01/02/2019","0.45","23/01/2020"
"Jyothy Labs","200.40","08/04/2019","138.35","30/08/2019"
"Jyoti Structures","3.45","23/04/2019","0.80","18/02/2019"
"K A Wires","65.00","27/11/2018","65.00","27/11/2018"
"Kabra Extrusion","90.00","01/04/2019","51.40","04/12/2019"
"Kajaria Ceramics","649.65","28/05/2019","443.00","04/09/2019"
"Kakatiya Cement Suga","297.85","10/01/2020","134.05","18/02/2019"
"Kalindee Rail Ni","151.75","22/02/2016","94.20","29/02/2016"
"Kalpataru Power","554.50","01/07/2019","300.20","04/02/2019"
"Kalyani Forge","314.40","14/03/2019","146.10","12/12/2019"
"Kalyani Investment","1,935.00","10/06/2019","1,395.00","21/02/2019"
"Kalyani Steel","269.00","14/01/2020","161.85","31/07/2019"
"Kamat Hotels (In","54.45","13/03/2019","27.80","26/08/2019"
